"RowNumber","Institution Name","Main Office","Branch Name","Branch Number","Established Date","Acquired Date","Street Address","City","County","State","Zipcode","Latitude","Longitude","2010 Deposits","2011 Deposits","2012 Deposits","2013 Deposits","2014 Deposits","2015 Deposits","2016 Deposits"
"967","JPMorgan Chase Bank","0","Radburn Branch","4001","1955-09-12","2006-10-01","21-01 Fair Lawn Avenue","Fair Lawn","Bergen","NJ","7410","40.939070000000001","-74.121279999999999","44970","45713","56186","61794","78089","110622","122859"
"968","JPMorgan Chase Bank","0","Ridge Branch","4003","1934-02-05","2006-10-01","301 Ridge Road","Lyndhurst","Bergen","NJ","7071","40.808509999999998","-74.118750000000006","37940","49739","48875","56145","90732","92706","105457"
"969","JPMorgan Chase Bank","0","North Arlington Branch","4005","1953-03-02","2006-10-01","23 Ridge Road","North Arlington","Bergen","NJ","7031","40.782550000000001","-74.137900000000002","80765","98248","83671","72514","94590","98806","98370"
"970","JPMorgan Chase Bank","0","The Plaza Branch","4007","1964-12-21","2006-10-01","170 The Plaza","Teaneck","Bergen","NJ","7666","40.902180000000001","-74.005099999999999","69509","67519","77151","90337","99459","110246","124105"
"971","JPMorgan Chase Bank","0","Cedar Lane Branch","4008","1964-12-16","2006-10-01","205 Cedar Lane","Teaneck","Bergen","NJ","7666","40.88635","-74.013869999999997","39201","45117","64506","73121","77252","78167","83004"
"972","JPMorgan Chase Bank","0","Wallington Branch","4009","1955-09-30","2006-10-01","93 Main Avenue","Wallington","Bergen","NJ","7057","40.854930000000003","-74.114149999999995","48801","44596","47836","51948","53836","56737","62044"
"973","JPMorgan Chase Bank","0","Godwin Avenue Branch","4011","1964-08-19","2006-10-01","67 Godwin Avenue","Ridgewood","Bergen","NJ","7450","40.978789999999996","-74.123630000000006","12875","39741","57107","62745","90313","89299","88074"
"974","JPMorgan Chase Bank","0","Midland Park Branch","4012","1954-09-20","2006-10-01","129 Godwin Avenue","Midland Park","Bergen","NJ","7432","40.98621","-74.139380000000003","23058","25561","27564","32409","38603","44587","50078"
"975","JPMorgan Chase Bank","0","Oakland Ramapo Valley Rd Branch","4013","1958-04-12","2006-10-01","345 Ramapo Valley Road","Oakland","Bergen","NJ","7436","41.024140000000003","-74.242549999999994","53043","59658","58762","73225","87309","86983","90397"
"976","JPMorgan Chase Bank","0","Franklin Branch","4016","1849-01-01","2006-10-01","300 State Route 23","Franklin","Sussex","NJ","7416","41.114750000000001","-74.581270000000004","33953","36353","41029","43058","48181","49715","52826"
"977","JPMorgan Chase Bank","0","Andover Branch","4017","1964-05-03","2006-10-01","241 Newton-Sparta Road","Newton","Sussex","NJ","7860","41.037520000000001","-74.70111","16729","18733","21126","21623","24062","29010","31259"
"978","JPMorgan Chase Bank","0","Sussex Branch","4018","1963-06-28","2006-10-01","59 Main Street","Sussex","Sussex","NJ","7461","41.211190000000002","-74.608059999999995","18171","18682","19927","20098","20861","21678","23948"
"979","JPMorgan Chase Bank","0","Vernon Rt 515 Branch","4019","1963-08-12","2006-10-01","550 County Road 515","Vernon","Sussex","NJ","7462","41.198180000000001","-74.483239999999995","39322","42280","50763","52245","54801","55576","62495"
"980","JPMorgan Chase Bank","0","Montague Branch","4020","1968-08-22","2006-10-01","14 Route 23","Montague","Sussex","NJ","7827","41.350200000000001","-74.686300000000003","12925","13734","14831","17411","19063","21814","26571"
"981","JPMorgan Chase Bank","0","Hampton Rt 206 Branch","4021","1968-09-21","2006-10-01","120 Hampton House Road","Newton","Sussex","NJ","7860","41.090089999999996","-74.730879999999999","33317","40516","43199","45019","50755","54446","59486"
"982","JPMorgan Chase Bank","0","Essex Street Branch","4022","1971-02-20","2006-10-01","370 Essex Street","Lodi","Bergen","NJ","7644","40.88738","-74.065240000000003","35359","35260","42135","46031","53380","58314","69298"
"983","JPMorgan Chase Bank","0","Mount Pleasant Branch","4023","1971-03-15","2006-10-01","2 Mount Pleasant Avenue","Wallington","Bergen","NJ","7057","40.845039999999997","-74.10848","46634","45620","47952","52550","57534","62872","66701"
"984","JPMorgan Chase Bank","0","Boulevard Branch","4024","1971-07-16","2006-10-01","504 Bergen Boulevard","Ridgefield","Bergen","NJ","7657","40.825069999999997","-73.996880000000004","53325","55617","59080","73348","89306","129240","149096"
"985","JPMorgan Chase Bank","0","Dover Branch","4025","1962-05-07","2006-10-01","1 East Clinton Street","Dover","Morris","NJ","7801","40.886470000000003","-74.558800000000005","37328","36002","38649","39484","43791","42043","68676"
"986","JPMorgan Chase Bank","0","Randolph Rt 10 Branch","4026","1959-12-28","2006-10-01","80 Dover Chester Road","Randolph","Morris","NJ","7869","40.861510000000003","-74.588589999999996","26442","30801","33749","36662","41611","43486","48352"
"987","JPMorgan Chase Bank","0","Riverdale Branch","4027","1965-06-26","2006-10-01","20 Hamburg Turnpike","Riverdale","Morris","NJ","7457","40.998719999999999","-74.3001","42352","49514","55189","66136","73808","83636","87534"
"988","JPMorgan Chase Bank","0","Mount Freedom Sussex Branch","4029","1969-10-14","2006-10-01","1199 Sussex Turnpike","Randolph","Morris","NJ","7869","40.826619999999998","-74.573610000000002","103145","111288","129634","147331","153237","160756","186989"
"989","JPMorgan Chase Bank","0","Boonton Monroe Branch","4030","1970-05-09","2006-10-01","100 Monroe Street","Boonton","Morris","NJ","7005","40.901409999999998","-74.407210000000006","29873","29923","34713","37531","41752","46139","49274"
